CPU_analysis	CPU_facto	CPU_fillA	CPU_post	CPU_solve	mem_facto	mpi	nbp	npX	npY	npZ	omp	ordering	
4.996964	151.786460	0.043229	0.000001	1.437940	6426	1	512000	80	80	80	1	metis	
7.294534	320.141116	0.065497	0.000001	2.103552	10671	1	729000	90	90	90	1	metis	
0.003721	0.005245	0.000080	0.000001	0.002019	2	2	1000	10	10	10	1	metis	
0.045212	0.040108	0.000631	0.000001	0.012598	24	2	8000	20	20	20	1	metis	
0.194041	0.285954	0.002563	0.000001	0.044863	113	2	27000	30	30	30	1	metis	
0.504602	2.000638	0.005828	0.000002	0.106108	385	2	64000	40	40	40	1	metis	
1.079767	6.473318	0.010617	0.000002	0.202715	943	2	125000	50	50	50	1	metis	
2.012738	16.284281	0.019373	0.000002	0.356363	2115	2	216000	60	60	60	1	metis	
3.268606	42.909751	0.036738	0.000002	0.544689	4092	2	343000	70	70	70	1	metis	
5.150470	88.308598	0.040992	0.000002	0.942857	7757	2	512000	80	80	80	1	metis	
7.496703	188.410538	0.068257	0.000002	1.351629	12738	2	729000	90	90	90	1	metis	
0.003946	0.007035	0.000079	0.000001	0.001672	3	3	1000	10	10	10	1	metis	
0.045559	0.036453	0.000629	0.000002	0.011404	34	3	8000	20	20	20	1	metis	
0.200473	0.227955	0.003410	0.000001	0.032583	124	3	27000	30	30	30	1	metis	
0.509909	2.065423	0.006085	0.000002	0.094066	414	3	64000	40	40	40	1	metis	
1.075743	4.495435	0.013911	0.000001	0.148295	1023	3	125000	50	50	50	1	metis	
1.997016	11.998740	0.019397	0.000001	0.273435	2279	3	216000	60	60	60	1	metis	
3.279795	46.197628	0.035657	0.000001	0.425713	4279	3	343000	70	70	70	1	metis	
5.186511	68.387589	0.042108	0.000002	0.704609	7809	3	512000	80	80	80	1	metis	
7.571379	184.532079	0.072164	0.000002	1.056814	12615	3	729000	90	90	90	1	metis	
0.004162	0.011607	0.000089	0.000001	0.001418	4	4	1000	10	10	10	1	metis	
0.055748	0.032905	0.000881	0.000001	0.007434	41	4	8000	20	20	20	1	metis	
0.195213	0.227147	0.002451	0.000002	0.028900	149	4	27000	30	30	30	1	metis	
0.510222	1.935182	0.005355	0.000002	0.064082	437	4	64000	40	40	40	1	metis	
1.071043	5.413291	0.012289	0.000001	0.153520	1053	4	125000	50	50	50	1	metis	
2.024227	11.040969	0.020251	0.000001	0.206141	2566	4	216000	60	60	60	1	metis	
3.311553	29.458863	0.035153	0.000001	0.321288	4979	4	343000	70	70	70	1	metis	
5.229456	60.737076	0.049090	0.000002	0.516871	8718	4	512000	80	80	80	1	metis	
7.616771	132.462835	0.071224	0.000001	0.782470	13459	4	729000	90	90	90	1	metis	
0.005605	0.009894	0.000126	0.000001	0.001680	5	5	1000	10	10	10	1	metis	
0.061774	0.035111	0.000631	0.000002	0.006742	47	5	8000	20	20	20	1	metis	
0.265853	0.188198	0.002445	0.000002	0.024806	149	5	27000	30	30	30	1	metis	
0.517924	1.003273	0.006118	0.000002	0.055872	475	5	64000	40	40	40	1	metis	
1.092888	3.778627	0.011127	0.000001	0.136112	1160	5	125000	50	50	50	1	metis	
2.012634	9.767911	0.024722	0.000001	0.202246	2713	5	216000	60	60	60	1	metis	
3.332061	26.039549	0.043525	0.000001	0.328964	5170	5	343000	70	70	70	1	metis	
5.271860	49.973873	0.044712	0.000002	0.686181	9067	5	512000	80	80	80	1	metis	
7.704689	117.589724	0.088028	0.000002	0.809651	15083	5	729000	90	90	90	1	metis	
0.004305	0.006996	0.000085	0.000001	0.001675	6	6	1000	10	10	10	1	metis	
0.062003	0.030677	0.000758	0.000002	0.010058	54	6	8000	20	20	20	1	metis	
0.243480	0.183907	0.003301	0.000002	0.023714	164	6	27000	30	30	30	1	metis	
0.522552	0.857551	0.007353	0.000002	0.055256	487	6	64000	40	40	40	1	metis	
1.142738	3.400850	0.010587	0.000001	0.096595	1189	6	125000	50	50	50	1	metis	
2.036140	8.059614	0.021938	0.000002	0.170554	2667	6	216000	60	60	60	1	metis	
3.366169	21.456116	0.045630	0.000001	0.316428	5229	6	343000	70	70	70	1	metis	
5.338957	41.831441	0.042731	0.000001	0.495374	9096	6	512000	80	80	80	1	metis	
7.907108	91.713626	0.087788	0.000001	0.775826	14553	6	729000	90	90	90	1	metis	
0.003379	0.006779	0.000087	0.000002	0.003053	2	1	1000	10	10	10	1	parmetis	
0.043548	0.062790	0.000696	0.000001	0.019536	16	1	8000	20	20	20	1	parmetis	
0.189914	0.434503	0.002715	0.000001	0.068280	91	1	27000	30	30	30	1	parmetis	
0.483292	3.030716	0.008309	0.000001	0.156232	322	1	64000	40	40	40	1	parmetis	
1.046774	8.621819	0.011345	0.000001	0.296805	820	1	125000	50	50	50	1	parmetis	
1.930231	25.761763	0.020351	0.000001	0.550318	1870	1	216000	60	60	60	1	parmetis	
3.214410	68.202614	0.035058	0.000002	0.897272	3756	1	343000	70	70	70	1	parmetis	
4.988528	145.582178	0.041328	0.000002	1.402972	6426	1	512000	80	80	80	1	parmetis	
7.326072	300.250803	0.071461	0.000002	2.109686	10671	1	729000	90	90	90	1	parmetis	
0.012416	0.005429	0.000082	0.000001	0.002284	2	2	1000	10	10	10	1	parmetis	
0.054249	0.043084	0.000646	0.000002	0.011939	24	2	8000	20	20	20	1	parmetis	
0.154250	0.318643	0.002492	0.000001	0.043188	117	2	27000	30	30	30	1	parmetis	
0.366153	1.995967	0.006122	0.000001	0.103916	367	2	64000	40	40	40	1	parmetis	
0.713904	5.166289	0.010562	0.000001	0.208019	1015	2	125000	50	50	50	1	parmetis	
1.345622	15.241871	0.017187	0.000002	0.358829	2080	2	216000	60	60	60	1	parmetis	
2.205146	35.010030	0.038068	0.000001	0.592187	4199	2	343000	70	70	70	1	parmetis	
3.288572	86.930333	0.042255	0.000002	1.211866	7482	2	512000	80	80	80	1	parmetis	
5.100816	169.667589	0.070131	0.000002	1.339762	12562	2	729000	90	90	90	1	parmetis	
0.016343	0.006608	0.000094	0.000002	0.001847	3	3	1000	10	10	10	1	parmetis	
0.060620	0.037154	0.000629	0.000002	0.009855	34	3	8000	20	20	20	1	parmetis	
0.157797	0.246618	0.002492	0.000002	0.033309	121	3	27000	30	30	30	1	parmetis	
0.374553	1.778656	0.007983	0.000001	0.115306	413	3	64000	40	40	40	1	parmetis	
0.727999	3.899354	0.010886	0.000002	0.196190	992	3	125000	50	50	50	1	parmetis	
1.338712	11.321814	0.020307	0.000001	0.285400	2187	3	216000	60	60	60	1	parmetis	
2.203112	34.698610	0.036177	0.000002	0.454959	4147	3	343000	70	70	70	1	parmetis	
3.293537	79.089864	0.052229	0.000002	0.703235	7636	3	512000	80	80	80	1	parmetis	
5.126428	165.686745	0.073241	0.000002	1.023619	12465	3	729000	90	90	90	1	parmetis	
0.023724	0.006745	0.000088	0.000002	0.001594	4	4	1000	10	10	10	1	parmetis	
0.093286	0.035635	0.000640	0.000001	0.009816	40	4	8000	20	20	20	1	parmetis	
0.161701	0.214524	0.003407	0.000001	0.031910	149	4	27000	30	30	30	1	parmetis	
0.317002	1.246265	0.007671	0.000002	0.074333	449	4	64000	40	40	40	1	parmetis	
0.562156	4.130260	0.015882	0.000001	0.165992	1266	4	125000	50	50	50	1	parmetis	
0.920807	11.023014	0.028800	0.000001	0.205756	2353	4	216000	60	60	60	1	parmetis	
1.488095	26.051914	0.044665	0.000001	0.386484	4796	4	343000	70	70	70	1	parmetis	
2.254639	57.624339	0.040894	0.000001	0.546678	8395	4	512000	80	80	80	1	parmetis	
3.304951	124.457220	0.079101	0.000001	0.892546	12429	4	729000	90	90	90	1	parmetis	
0.024192	0.018284	0.000128	0.000001	0.002363	5	5	1000	10	10	10	1	parmetis	
0.089393	0.028974	0.000644	0.000002	0.006538	47	5	8000	20	20	20	1	parmetis	
0.168614	0.220631	0.003378	0.000002	0.024755	165	5	27000	30	30	30	1	parmetis	
0.323213	1.000525	0.007235	0.000001	0.057153	472	5	64000	40	40	40	1	parmetis	
0.575167	4.078935	0.014615	0.000002	0.122005	1299	5	125000	50	50	50	1	parmetis	
1.036040	9.570745	0.025737	0.000002	0.209364	2593	5	216000	60	60	60	1	parmetis	
1.520970	23.308779	0.036973	0.000002	0.337954	4902	5	343000	70	70	70	1	parmetis	
2.267071	60.546454	0.048643	0.000002	0.551137	8289	5	512000	80	80	80	1	parmetis	
3.439243	115.852119	0.078275	0.000002	0.803364	13317	5	729000	90	90	90	1	parmetis	
0.025273	0.006983	0.000101	0.000001	0.001701	6	6	1000	10	10	10	1	parmetis	
0.095461	0.039861	0.000625	0.000001	0.006744	54	6	8000	20	20	20	1	parmetis	
0.194359	0.191631	0.003619	0.000001	0.023619	177	6	27000	30	30	30	1	parmetis	
0.328587	1.482163	0.005686	0.000001	0.051348	516	6	64000	40	40	40	1	parmetis	
0.630487	2.980568	0.014068	0.000001	0.103908	1301	6	125000	50	50	50	1	parmetis	
1.066631	8.623367	0.026492	0.000002	0.195305	2659	6	216000	60	60	60	1	parmetis	
1.640843	22.811830	0.044977	0.000002	0.288018	5369	6	343000	70	70	70	1	parmetis	
2.492499	53.139467	0.054537	0.000002	0.455913	8767	6	512000	80	80	80	1	parmetis	
3.434938	111.441210	0.089477	0.000002	0.748161	14420	6	729000	90	90	90	1	parmetis	
